8,5,85,5.1,5.5,24.9,16.8,0,3.2,12,2
2,2,96,0,49,21.8,15.4,0,2.1,5,12
12,2,95,0,32,22.9,18.8,0,3.8,11,1
1,2,94,0,1,21.4,17.6,0,2.1,7,1
1,2,96,0,6,20.2,17,0,2,5,1
1,1,92,0,0,23.4,17.7,0,1.9,13,1
1,1,79,9.1,0,29.8,18.3,0,2.8,13,0
0,0,85,4.4,0,27.3,19,0,2.2,5,1
1,1,87,5.1,0,28.1,20.4,0,2,6,0
0,0,84,6.4,0,25.7,19.6,0,4.2,5,1
1,9,88,0,0,21.9,18.5,0,4.6,5,1
1,1,87,2.3,0,26.4,18.3,0,4.5,5,1
1,2,89,0,1.5,23.1,17.9,0,4.2,5,8
8,1,82,4,0,27,19.5,0,2.1,8,0
0,1,79,12.4,0,30.6,19.7,0,3.6,4,1
1,2,86,2.1,2,27.2,20.2,0,5.5,4,12
12,1,87,0.3,9,23.7,19.5,0,4.2,5,8
8,1,79,3.5,0,24.9,18.4,0,5.4,5,2
2,2,92,0,3.5,20.3,18.2,0,7.1,5,2
2,1,92,0,7.5,19.2,18.2,0,7.2,5,2
2,1,91,0,14,21.6,18.1,0,1.9,12,8
8,1,85,1.4,0,25.1,17.3,0,2.1,14,1
1,1,86,1.8,2,28,18.6,0,3.1,4,12
12,1,91,0.7,9.5,23.7,19.5,0,1.8,5,0
0,0,85,10.8,0,26.5,19.6,0,2.3,7,2
2,2,89,0,1,24.2,20,0,2.7,4,2
2,1,88,0,1.5,23.1,20.1,0,1.9,13,9
9,0,82,1.6,0,24.6,18.3,0,2.7,13,0
0,0,82,8.3,0,26.2,17.5,0,1.7,7,0
0,0,80,10.5,0,27.3,20.7,0,1.8,8,8
8,0,87,6.9,0,26.8,21.4,0,1.8,7,0
0,5,80,12.3,0,28.7,19.9,0,1.9,7,0
0,1,80,12.2,0,29,19.6,0,1.7,7,0
0,0,81,13.5,0,29.2,20.8,0,2.2,7,1
1,2,79,3.2,0,30.7,21.5,0,4,13,2
2,2,96,0,67,25.1,20.9,0,3.2,5,1
1,1,82,9.5,7,29.3,21.8,0,4.4,12,1
1,1,89,0,13,23.8,19.6,0,4.3,5,8
8,1,79,1.3,0,24.6,19.1,0,4.3,4,1
1,0,78,3.2,0,24.1,19,0,4.8,4,1
1,1,78,2.9,0,24.6,19,0,4.5,4,1
1,1,86,2.6,6.5,27.2,20.7,0,3.4,4,1
1,2,90,1.6,104.5,30,21.5,0,4.4,10,2
2,2,93,0,10,26,22.1,0,2.5,10,2
2,2,96,0,20.5,22.5,21.1,0,1.7,6,9
9,2,93,0.2,66,25.7,21.3,0,1.9,4,8
8,0,88,6.8,15.5,28.6,21.6,0,2,7,1
1,1,77,10.4,0,29,20.6,0,2.4,1,8
8,1,75,7.1,0.5,28.1,19.8,0,2.6,1,1
1,2,84,1.5,10,26.2,19.5,0,2.6,5,2
2,0,89,0.4,53.5,27.3,21.7,0,5.5,10,0
0,0,72,12.5,0,28.6,19.7,0,3.1,13,2
2,16,85,0,25,22.5,17.7,0,3.9,4,0
0,1,74,11.8,0,28.3,16.1,0,3.9,13,12
12,0,89,0.6,10,25.7,20.6,0,2.3,12,0
0,0,73,13.1,0,28.6,15.3,0,2.4,1,0
0,1,71,8.2,0,29,16.6,0,3.8,4,1
1,0,80,0.6,2.5,28.1,17.9,0,3.5,12,0
0,5,68,12.8,0,26.8,16.5,0,4.1,12,0
0,1,73,10.2,0,25.8,14,0,2.7,7,8
8,0,78,3.7,0,25.5,18.3,0,1.6,1,1
1,2,85,0,1,25.2,19.6,0,3.4,5,1
1,1,74,3.7,0,24,16,0,3.2,11,0
0,1,72,5.8,0,25,14.2,0,2.2,4,1
1,2,82,0.4,4,24.8,19.1,0,1.9,2,2
2,1,95,0,65,23.1,17.8,0,2.9,4,8
8,8,82,3.6,0,27.4,19.2,0,2.5,12,1
1,8,71,5.9,0,24.1,14.7,0,3.4,13,1
1,1,76,1.7,0,22.6,13.7,0,1.8,1,0
0,0,78,10.3,0,27.1,16.3,0,3.5,5,1
1,0,84,0.4,0,24.4,19.8,0,4.5,4,0
0,1,82,8.4,0.5,27.7,20,0,6,5,0
0,0,62,11.8,0,27.1,18.6,0,4.4,12,5
5,8,69,9.1,0,24.9,13.8,0,1.9,0,0
0,0,70,12.1,0,26.9,14.8,0,1.7,15,0
0,0,69,12.2,0,26.7,15.5,0,3.3,4,0
0,0,76,7.2,0,24.7,18.1,0,4.7,5,8
8,9,80,6.9,0,26.9,19.8,0,4.3,5,8
8,0,76,8,0,28,18.2,0,2.8,14,0
0,8,66,11.6,0,23,14.6,0,4.2,14,1
1,1,76,8,0,23.3,13,0,1.7,1,1
1,1,76,0.1,0,23.8,16.5,0,3.3,4,0
0,1,79,7.4,0,27.7,19.3,0,1.7,14,2
2,12,91,0,15,25.4,19.8,0,1.5,1,9
9,2,90,0,4.5,24.8,16.7,0,2.3,14,8
8,0,68,6.9,38,19,9.1,0,5.3,14,1
1,0,69,7.8,0,20.1,8.5,0,2.4,1,0
0,1,73,10.1,0,22.6,8.7,0,5.4,5,12
12,1,94,0,37.5,22.3,18.9,0,2.7,5,12
12,8,79,3.7,5,23,16,0,3.8,13,0
0,1,70,10.3,0,23.7,13.3,0,2.7,13,0
0,0,73,9.6,0,24.3,13.7,0,2.6,1,1
1,1,71,9.4,0,24.1,11.6,0,2.1,1,8
8,0,76,6.2,0,24,14.7,0,2.1,5,5
5,1,79,4.9,0,24,14.2,0,3.1,13,0
0,5,82,8.4,0,24.8,15.6,0,2.4,1,0
